t;pixelx;pixely;frame;
0,00;1032;506,5;0;
0,02;1040,5;505,5;1;
0,03;1051;504;2;
0,05;1063;508,5;3;
0,07;1076;518;4;
0,08;1086;520;5;
0,10;1094;511,5;6;
0,12;1105;500,5;7;
0,13;1117;492,5;8;
0,15;1127,5;491;9;
0,17;1137;491;10;
0,18;1149;487;11;
0,20;1160;481;12;
0,22;1169;476;13;
0,23;1177;474,5;14;
0,25;1188;476,5;15;
0,27;1199;480;16;
0,28;1185,5;476;17;
0,30;1162,5;468,5;18;
0,32;1142,5;465,5;19;
0,33;1123,5;469;20;
0,35;1104;472,5;21;
0,37;1083;473;22;
0,38;1063;472;23;
0,40;1044;472,5;24;
0,42;1028;475,5;25;
0,43;1008,5;481;26;
0,45;988,5;489;27;
0,47;969;494;28;
0,48;953;495,5;29;
0,50;935;503,5;30;
0,52;916,5;513,5;31;
0,53;899;523;32;
0,55;882;533,5;33;
0,57;865,5;541;34;
0,58;847,5;548,5;35;
0,60;829;561;36;
0,62;813,5;575;37;
0,63;799;578;38;
0,65;781;573;39;
0,67;762;567,5;40;
0,68;746;563,5;41;
0,70;;;;
0,72;;;;
0,73;;;;
0,75;789,5;532;45;
0,77;816;522;46;
0,78;847,5;512;47;
0,80;877;507;48;
0,82;907;503;49;
0,83;935;494;50;
0,85;962,5;488,5;51;
0,87;986;485;52;
0,88;1012;484,5;53;
0,90;1036,5;486;54;
0,92;1061,5;486;55;
0,93;1083,5;488;56;
0,95;1103;488,5;57;
0,97;1121,5;487,5;58;
0,98;1144;473;59;
1,00;1169;463;60;
1,02;1191,5;449;61;
1,03;1201;441,5;62;
1,05;1177,5;439,5;63;
1,07;1157,5;442;64;
1,08;1133,5;443,5;65;
1,10;1111;447;66;
1,12;1090;449;67;
1,13;1066,5;453;68;
1,15;1043;457,5;69;
1,17;1023,5;465;70;
1,18;1002;474,5;71;
1,20;983,5;481,5;72;
1,22;960;491;73;
1,23;938,5;499,5;74;
1,25;917;511;75;
1,27;898;522,5;76;
1,28;881,5;535;77;
1,30;859,5;548;78;
1,32;838;560,5;79;
1,33;819;577;80;
1,35;798,5;584;81;
1,37;778,5;582;82;
1,38;757,5;580,5;83;
1,40;738;580,5;84;
1,42;;;;
1,43;;;;
1,45;;;;
1,47;792;548,5;88;
1,48;832;536;89;
1,50;871,5;525;90;
1,52;907,5;518,5;91;
1,53;938;512,5;92;
1,55;980;507,5;93;
1,57;1012;504;94;
1,58;1048;500,5;95;
1,60;1077,5;498,5;96;
1,62;1108,5;499,5;97;
1,63;1138;502;98;
1,65;1169,5;505,5;99;
1,67;1196;509;100;
1,69;1220;507,5;101;
1,70;1252,5;489;102;
1,72;1281;475,5;103;
1,74;1305;465,5;104;
1,75;1332;455,5;105;
1,77;1359,5;447;106;
1,79;1375,5;438;107;
1,80;1332;437;108;
1,82;1296,5;439;109;
1,84;1257,5;443;110;
1,85;1216;447;111;
1,87;1176,5;451,5;112;
1,89;1137;457;113;
1,90;1098;465;114;
1,92;1060;474;115;
1,94;1023,5;483,5;116;
1,95;986,5;496,5;117;
1,97;953;504,5;118;
1,99;917;518,5;119;
2,00;884;532;120;
2,02;850;548;121;
2,04;817;554,5;122;
2,05;778;548,5;123;
2,07;741,5;546,5;124;
2,09;707;542;125;
2,10;674;542,5;126;
2,12;639,5;543;127;
2,14;604,5;545,5;128;
2,15;;;;
2,17;615,5;534,5;130;
2,19;654,5;526,5;131;
2,20;687;522,5;132;
2,22;725,5;519,5;133;
2,24;756,5;514,5;134;
2,25;789,5;512;135;
2,27;820,5;511;136;
2,29;852,5;512;137;
2,30;881;515;138;
2,32;910,5;518;139;
2,34;921,5;518;140;
2,35;922;518;141;
2,37;922;518;142;
2,39;925,5;519,5;143;
2,40;925,5;523,5;144;
2,42;925,5;527;145;
2,44;925,5;528;146;
2,45;925,5;531,5;147;
2,47;926,5;535,5;148;
2,49;926,5;542;149;
2,50;927,5;543;150;
2,52;929,5;540,5;151;
2,54;930;540;152;
2,55;931;539,5;153;
2,57;935;538;154;
2,59;935;539;155;
2,60;936;541;156;
2,62;936;542;157;
2,64;937;544;158;
2,65;938,5;548;159;
2,67;940;553,5;160;
2,69;940;557;161;
2,70;942;555,5;162;
2,72;945;553;163;
2,74;947;553;164;
2,75;947,5;553;165;
2,77;949,5;554,5;166;
2,79;952;556;167;
2,80;954;556;168;
2,82;954;557,5;169;
2,84;957;561,5;170;
2,85;960,5;564;171;
2,87;962,5;564;172;
2,89;964;561;173;
2,90;966;560;174;
2,92;969;560;175;
2,94;971;562;176;
2,95;973,5;564,5;177;
2,97;976;566;178;
2,99;978;568;179;
3,00;981,5;568;180;
3,02;985,5;566,5;181;
3,04;988,5;566,5;182;
3,05;991;566;183;
3,07;995;565,5;184;
3,09;998;566;185;
3,10;999,5;567,5;186;
3,12;1003;571,5;187;
3,14;1007;572,5;188;
3,15;1011;572;189;
3,17;1015;570;190;
3,19;1019;569;191;
3,20;1021,5;569;192;
3,22;1026;569,5;193;
3,24;1030;571;194;
3,25;1033;572,5;195;
3,27;1035,5;574;196;
3,29;1041,5;574;197;
3,30;1045;572,5;198;
3,32;1050;571,5;199;
3,34;1054,5;572;200;
3,35;1059;571;201;
3,37;1063,5;572;202;
3,39;1067;572;203;
3,40;1072,5;575;204;
3,42;1077,5;576;205;
3,44;1082;574;206;
3,45;1087;572;207;
3,47;1091,5;572;208;
3,49;1096;572;209;
3,50;1101,5;574;210;
3,52;1107;575;211;
3,54;1112;574;212;
3,55;1116,5;571,5;213;
3,57;1122;571,5;214;
3,59;1128,5;572;215;
3,60;1134;573,5;216;
3,62;1139;572,5;217;
3,64;1143,5;574,5;218;
3,65;1144;578;219;
3,67;1146,5;580,5;220;
3,69;1147;583;221;
3,70;1148;587;222;
3,72;1149;590;223;
